Department,Category,MatrixLookupCode,Description,ExtendedDescription,ItemLookupCode,Dimension1,Dimension1code,Dimension2,Dimension2Code,Dimension3,Dimension3Code,SubDescription1,SubDescription2,SubDescription3,BarCode,Quantity,Price,PriceA,PriceB,PriceC,Cost,SupplierCode,Supplier,SupplierCost,ParentItem,ItemType,LastCost,MinimumOrder,Notes,Picture Name,ReorderNumber,ReorderPoint,RestockLevel,ReplacementCost,SaleStartDate,SaleEndDate,SalePrice,SalesTax,UnitofMeasure,WebItem,Weight,Inactive,POSStyleCode,POSSKU,TanneryProduct-id,Styleid,ShopifyProduct-id_Curated,ShopifyProduct-id_Cncpts,Company_model_Number,Company_sku_Number,ALU,brandid
Outerwear,Backpack,,Cierzo 18 Backpack,,41-8432,color,,size,,genre,,,,,UPCA,,59,,,,34.5,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,695CFC02-6C83-46FB-BCCF-65B1D3B5D8E3,,23750,,,,8432,,,41
Outerwear,Backpack,41-8432,Cierzo 18 Backpack Bla NA ,Cierzo 18 Backpack Black NA  ,806955490626,Black,,NA  ,,UNISEX,,8432,Black,NA  ,806955490626,,59,,,,34.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,CC207B96-B51B-4979-93D1-E81A463A0820,,49096,,,8432,,,
Outerwear,Backpack,41-8432,Cierzo 18 Backpack Blu NA ,Cierzo 18 Backpack Blue Ray NA  ,806955551433,Blue Ray,,NA  ,,UNISEX,,8432,Blue Ray,NA  ,806955551433,,59,,,,34.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,AE10FEA3-7C38-4F5B-BF84-D1636A0F8CAA,,56932,,,8432,,,
Outerwear,Backpack,41-8432,Cierzo 18 Backpack Car NA ,Cierzo 18 Backpack Cardinal NA  ,806955551440,Cardinal,,NA  ,,UNISEX,,8432,Cardinal,NA  ,806955551440,,59,,,,34.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,EC1914F7-A5CC-4980-B7E6-6B725B364276,,56933,,,8432,,,
Outerwear,Backpack,,Fly 13 Backpack,,41-6425,color,,size,,genre,,,,,UPCA,,85,,,,42.5,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,A0DEDA65-2260-4BFA-BBC8-1BDA99C01DC5,,23816,,,,6425,,,41
Outerwear,Backpack,41-6425,Fly 13 Backpack Bla NA ,Fly 13 Backpack Black NA  ,806955376623,Black,,NA  ,,UNISEX,,6425,Black,NA  ,806955376623,,85,,,,42.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,DEE39F71-6E18-493D-8546-AC60BB77FFEF,,49300,,,6425,,,
Outerwear,Backpack,41-6425,Fly 13 Backpack Nig NA ,Fly 13 Backpack Nightshade NA  ,806955550948,Nightshade,,NA  ,,UNISEX,,6425,Nightshade,NA  ,806955550948,,85,,,,42.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,F61EBFD3-9980-4C8F-9C39-A5C48D135270,,57574,,,6425,,,
Outerwear,Backpack,41-6425,Fly 13 Backpack Tib NA ,Fly 13 Backpack Tibetan Red NA  ,806955550955,Tibetan Red,,NA  ,,UNISEX,,6425,Tibetan Red,NA  ,806955550955,,85,,,,42.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,7916E714-A0B1-4F61-B6DA-4346FC147983,,57575,,,6425,,,
Outerwear,Backpack,,Cierzo 25 Backpack,,41-9335,color,,size,,genre,,,,,UPCA,,99,,,,57.5,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,530B5DA0-0C7C-4B00-9E1F-4464BC60F8DC,,23751,,,,9335,,,41
Outerwear,Backpack,41-9335,Cierzo 25 Backpack Bla NA ,Cierzo 25 Backpack Black NA  ,806955490596,Black,,NA  ,,UNISEX,,9335,Black,NA  ,806955490596,,99,,,,57.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,748F0A80-5FFC-4CF5-A4A8-5430CA6EDBDD,,49099,,,9335,,,
Outerwear,Backpack,41-9335,Cierzo 25 Backpack Bla NA ,Cierzo 25 Backpack Blaze NA  ,806955551457,Blaze,,NA  ,,UNISEX,,9335,Blaze,NA  ,806955551457,,99,,,,57.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,24B7FD76-CE5D-4E69-8F08-6D7574E0F969,,56935,,,9335,123192,,
Outerwear,Backpack,41-9335,Cierzo 25 Backpack Blu NA ,Cierzo 25 Backpack Blue Ray NA  ,806955551464,Blue Ray,,NA  ,,UNISEX,,9335,Blue Ray,NA  ,806955551464,,99,,,,57.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,489D7B27-8E83-4D51-B717-14D8B470C4F2,,56936,,,9335,,,
Outerwear,Backpack,,Cierzo 35 Backpack,,41-9336,color,,size,,genre,,,,,UPCA,,119,,,,69,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,5FFB1B28-FE01-4CAE-A64A-5C0FBDEE66CC,,23752,,,,9336,,,41
Outerwear,Backpack,41-9336,Cierzo 35 Backpack Bla NA ,Cierzo 35 Backpack Black NA  ,806955490572,Black,,NA  ,,UNISEX,,9336,Black,NA  ,806955490572,,119,,,,69,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,48114BE1-FB42-4238-B9C6-DC7C8E29AAF8,,49102,,,9336,,,
Outerwear,Backpack,41-9336,Cierzo 35 Backpack Bla NA ,Cierzo 35 Backpack Blaze NA  ,806955551471,Blaze,,NA  ,,UNISEX,,9336,Blaze,NA  ,806955551471,,119,,,,69,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,41E4E59B-FA4C-4F29-B38D-1543B8C4BAD1,,56934,,,9336,123191,,
Outerwear,Backpack,,Quiver Backpack,,41-5914,color,,size,,genre,,,,,UPCA,,119,,,,59.5,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,2C531D2F-9952-4E83-820D-09A6CE67E41D,,23930,,,,5914,,,41
Outerwear,Backpack,41-5914,Quiver Backpack Bla NA ,Quiver Backpack Black NA  ,806955350388,Black,,NA  ,,UNISEX,,5914,Black,NA  ,806955350388,,119,,,,59.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,31B887AE-5024-4B97-AB1F-D46147BE100F,,49636,,,5914,,,
Outerwear,Backpack,41-5914,Quiver Backpack Lim NA ,Quiver Backpack Lime NA  ,806955350364,Lime,,NA  ,,UNISEX,,5914,Lime,NA  ,806955350364,,119,,,,59.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,9E26CAE7-3F10-424C-83A8-FA4A8F122090,,49637,,,5914,,,
Outerwear,Backpack,41-5914,Quiver Backpack Red NA ,Quiver Backpack Red Berry NA  ,806955350371,Red Berry,,NA  ,,UNISEX,,5914,Red Berry,NA  ,806955350371,,119,,,,59.5,41,Arcteryx,,,MatrixComponent,,,,,,,,,,,,,,,,,,5329BC62-ED93-4A29-AB07-812563053BF7,,49638,,,5914,,,
Outerwear,Backpack,,Blade 15 Backpack,,41-6422,color,,size,,genre,,,,,UPCA,,159,,,,92,41,Arcteryx,,,Matrix,,,,,,,,,,,,,,,,,0DFAC9FB-97EB-4461-B246-6C15DD857A02,,23719,,,,6422,,,41
